SC4968 阿克苏 青岛 18:30 01:20+1 888 999
SC4656 北京 青岛 21:25 23:00 300 100
SC4658 北京 青岛 10:25 12:00 300 100
SC4800 常州 青岛 15:45 17:00 300 100
SC4092 大阪 青岛 11:30 14:25 300 100
SC4094 大阪 青岛 16:20 19:15 300 100
SC4096 大阪 青岛 21:20 00:15+1 300 100
SC4734 大连 青岛 17:05 18:10 300 100
SC4837 大连 青岛 13:10 14:10 300 100
SC4732 大连 青岛 14:15 15:15 300 100
SC4736 大连 青岛 21:55 23:00 300 100
SC4740 大连 青岛 22:35 23:40 300 100
SC4744 大连 青岛 18:20 19:20 300 100
SC4912 福州 青岛 21:30 23:45 300 100
SC4676 广州 青岛 20:30 23:30 300 100
SC4690 广州 青岛 11:40 14:30 300 100
SC4678 广州 青岛 12:50 15:45 300 100
SC4816 贵阳 青岛 17:30 20:25 300 100
SC4800 贵阳 青岛 12:50 17:00 300 100
SC4804 贵阳 青岛 12:50 17:20 300 100
SC4966 贵阳 青岛 20:05 00:55+1 300 100
SC4746 哈尔滨 青岛 19:15 21:30 300 100
SC4750 哈尔滨 青岛 16:35 19:00 300 100
SC4756 哈尔滨 青岛 22:40 01:05+1 300 100
SC4845 哈尔滨 青岛 18:00 20:10 300 100
SC4870 海口 青岛 07:20 12:35 300 100
SC4772 杭州 青岛 17:05 18:55 300 100
SC4766 杭州 青岛 10:05 11:50 300 100
SC4768 杭州 青岛 13:20 15:10 300 100
SC4770 杭州 青岛 16:10 18:00 300 100
SC4774 杭州 青岛 20:20 22:10 300 100
SC4776 杭州 青岛 21:10 23:10 300 100
SC4662 上海虹桥 青岛 10:15 12:05 300 100
SC4668 上海虹桥 青岛 19:55 21:25 300 100
SC4660 上海虹桥 青岛 18:20 20:10 300 100
SC4695 呼和浩特 青岛 13:30 15:35 300 100
SC4704 佳木斯 青岛 10:10 12:50 300 100
SC4734 建三江 青岛 13:35 18:10 300 100
SC4828 景德镇 青岛 10:20 12:00 300 100
SC4858 库尔勒 青岛 15:50 22:50 300 100
SC4830 昆明 青岛 07:20 10:50 300 100
SC4828 昆明 青岛 07:20 12:00 300 100
SC4692 昆明 青岛 13:40 18:30 300 100
SC4978 兰州 青岛 11:30 14:05 300 100
SC4080 青岛 曼谷 03:25 08:05 300 100
SC4732 牡丹江 青岛 11:30 15:15 300 100
SC4740 牡丹江 青岛 19:50 23:40 300 100
SC4910 南昌 青岛 14:35 16:25 300 100
SC4692 南京 青岛 17:15 18:30 300 100
SC4696 南京 青岛 08:05 09:25 300 100
SC4884 宁波 青岛 18:35 20:10 300 100
SC4602 上海浦东 青岛 11:10 12:45 300 100
SC4604 上海浦东 青岛 13:45 15:20 300 100
SC4606 上海浦东 青岛 23:15 00:50+1 300 100
SC4608 上海浦东 青岛 20:10 21:40 300 100
SC4736 齐齐哈尔 青岛 19:05 23:00 300 100
SC4655 青岛 北京 18:45 20:20 300 100
SC4657 青岛 北京 07:55 09:40 300 100
SC4799 青岛 常州 18:20 19:45 300 100
SC4091 青岛 大阪 07:55 10:25 300 100
SC4093 青岛 大阪 12:50 15:20 300 100
SC4095 青岛 大阪 17:55 20:20 300 100
SC4733 青岛 大连 08:35 09:35 300 100
SC4731 青岛 大连 07:00 08:00 300 100
SC4735 青岛 大连 14:20 15:20 300 100
SC4739 青岛 大连 15:15 16:20 300 100
SC4743 青岛 大连 16:20 17:20 300 100
SC4838 青岛 大连 10:50 12:00 300 100
SC4911 青岛 福州 13:20 15:45 300 100
SC4675 青岛 广州 16:00 19:25 300 100
SC4689 青岛 广州 07:10 10:35 300 100
SC4677 青岛 广州 08:00 11:45 300 100
SC4815 青岛 贵阳 12:10 15:35 300 100
SC4815 青岛 贵阳 13:05 16:30 300 100
SC4799 青岛 贵阳 18:20 23:20 300 100
SC4803 青岛 贵阳 18:20 22:55 300 100
SC4965 青岛 贵阳 06:35 11:50 300 100
SC4745 青岛 哈尔滨 07:30 09:35 300 100
SC4749 青岛 哈尔滨 13:30 15:35 300 100
SC4755 青岛 哈尔滨 19:30 21:35 300 100
SC4846 青岛 哈尔滨 14:45 16:55 300 100
SC4883 青岛 海口 08:45 14:20 300 100
SC4869 青岛 海口 18:25 00:20+1 300 100
SC4765 青岛 杭州 07:10 09:00 300 100
SC4771 青岛 杭州 14:00 16:00 300 100
SC4769 青岛 杭州 13:10 15:05 300 100
SC4767 青岛 杭州 10:20 12:15 300 100
SC4773 青岛 杭州 17:10 19:00 300 100
SC4775 青岛 杭州 20:00 22:05 300 100
SC4661 青岛 上海虹桥 07:30 09:10 300 100
SC4659 青岛 上海虹桥 15:30 17:15 300 100
SC4667 青岛 上海虹桥 17:05 18:50 300 100
SC4696 青岛 呼和浩特 10:25 12:40 300 100
SC4703 青岛 佳木斯 06:45 09:25 300 100
SC4733 青岛 建三江 08:35 12:50 300 100
SC4827 青岛 景德镇 18:20 20:35 300 100
SC4857 青岛 库尔勒 07:35 15:05 300 100
SC4829 青岛 昆明 20:30 00:15+1 300 100
SC4827 青岛 昆明 18:20 00:15+1 300 100
SC4691 青岛 昆明 06:55 12:35 300 100
SC4977 青岛 兰州 07:45 10:40 300 100
SC4079 青岛 曼谷 21:05 02:25+1 300 100
SC4731 青岛 牡丹江 07:00 10:45 300 100
SC4739 青岛 牡丹江 15:15 19:05 300 100
SC4909 青岛 南昌 06:50 08:45 300 100
SC4691 青岛 南京 06:55 08:20 300 100
SC4695 青岛 南京 16:35 17:55 300 100
SC4883 青岛 宁波 08:45 10:25 300 100
SC4601 青岛 上海浦东 08:30 10:05 300 100
